date	weight
21/01/2009	110.9
22/01/2009	110.2
23/01/2009	111.1
24/01/2009	111.6
25/01/2009	109.9
26/01/2009	110.2
27/01/2009	110.3
28/01/2009	109.6
29/01/2009	109.7
30/01/2009	110.3
31/01/2009	109.2
01/02/2009	108.9
02/02/2009	109.8
03/02/2009	109.6
04/02/2009	108.8
05/02/2009	108.2
06/02/2009	108.3
07/02/2009	108.4
08/02/2009	108.3
09/02/2009	108.5
10/02/2009	108.2
11/02/2009	107.8
12/02/2009	107.5
13/02/2009	107.7
14/02/2009	108.3
15/02/2009	108.1
16/02/2009	107.4
17/02/2009	106.8
18/02/2009	106.4
19/02/2009	106.3
20/02/2009	106.8
21/02/2009	106.8
22/02/2009	105.5
23/02/2009	105.4
24/02/2009	105.7
25/02/2009	105.7
26/02/2009	106.2
27/02/2009	105.4
28/02/2009	105.4
01/03/2009	105.1
02/03/2009	105.2
03/03/2009	105.2
04/03/2009	104.8
05/03/2009	104.7
06/03/2009	105
07/03/2009	104.4
08/03/2009	104.4
09/03/2009	103.4
10/03/2009	103.7
11/03/2009	103.6
12/03/2009	103.7
13/03/2009	103.7
14/03/2009	103.7
15/03/2009	103.7
16/03/2009	103.7
17/03/2009	103.6
18/03/2009	102.5
19/03/2009	101.8
20/03/2009	102.9
21/03/2009	102.9
22/03/2009	102.4
23/03/2009	102.4
24/03/2009	102.3
25/03/2009	102.5
26/03/2009	102.4
27/03/2009	102.45
